sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
11.79,2.8982,32.1486,1025.5004,14.95,2.8939,32.147,1025.4995
12.11,2.8865,32.157,1025.508,15.29,2.8923,32.146,1025.4988
12.4,2.8846,32.1579,1025.5089,15.61,2.8914,32.1477,1025.5003
12.71,2.8838,32.1574,1025.5086,15.93,2.8914,32.1468,1025.4995
12.98,2.8834,32.157,1025.5083,16.27,2.8915,32.1468,1025.4995
13.26,2.8836,32.1565,1025.5079,16.58,2.8879,32.1459,1025.4991
13.53,2.8827,32.1563,1025.5078,16.89,2.8854,32.1467,1025.4999
13.83,2.8827,32.1555,1025.5072,17.22,2.8839,32.1482,1025.5013
14.13,2.8824,32.1555,1025.5072,17.51,2.8869,32.1458,1025.4991
14.47,2.8812,32.154,1025.5061,17.75,2.8845,32.1468,1025.5001
14.84,2.8804,32.1562,1025.5079,17.95,2.8839,32.148,1025.5011
15.21,2.8822,32.1542,1025.5062,18.12,2.8837,32.15,1025.5028
